"";"nr_orcamento_ano";"total_cnpjs";"valor_medio_transferencias";"valor_mediano_transferencias"
"1";2001;6553;520683;17634
"2";2002;6969;513574;10000
"3";2003;6729;536832;9041
"4";2004;8422;532329;25000
"5";2005;9964;584246;30000
"6";2006;11993;529247;24399
"7";2007;12650;591790;24606
"8";2008;13865;550543;12000
"9";2009;14067;595304;6067
"10";2010;14594;614158;4515
"11";2011;14529;538007;2520
"12";2012;13488;696495;3006
"13";2013;12654;765423;792
"14";2014;11417;943782;2672
"15";2015;8329;1171682;5620
"16";2016;8083;1382848;4600
"17";2017;7213;2087161;6760
"18";2018;7718;1659348;5310
"19";2019;7299;1848062;5900
"20";2020;7355;2068111;32680
"21";2021;7571;2865320;6047
"22";2022;7525;2382568;9470
"23";2023;8337;2842118;115398
